acc_type,words,count
other,regulator,1
other,release,3
other,remember,2
other,removal,1
other,repair,9
other,repeat,2
other,repeated,1
other,repeatedly,3
other,replacement,1
other,repo,2
other,repoed,2
other,repoers,1
other,repos,3
other,represent,2
other,republican,1
other,republicans,1
other,request,2
other,researcher,3
other,reservoir,2
other,reso,1
other,resource,1
other,response,1
other,responsible,1
other,rest,2
other,result,1
other,reuse,3
other,reveal,1
other,rick,4
other,ridiculous,1
other,rise,2
other,riverhills,1
other,riverwalk,1
other,road,2
other,roads,1
other,rogers,1
other,ron,3
other,rot,1
other,rotting,1
other,roundabout,1
other,rumor,1
other,run,1
other,runoff,7
other,rural,1
other,safe,2
other,saint,1
other,sake,1
other,salary,1
other,salinity,2
other,salt,1
other,saltwater,2
other,sand,1
other,sasser,1
other,save,1
other,schedule,1
other,scheme,1
other,school,1
other,scott,1
other,scotts,1
other,scrub,3
other,seawater,1
other,seep,1
other,sell,3
other,sen,1
other,set,1
other,settle,2
other,severe,1
other,sewagecleanupandremoval,1
other,shareholder,1
other,sheriff,3
other,shift,1
other,shit,11
other,sho,1
other,shtf,1
other,shutting,2
other,sicily,1
other,sidewalk,3
other,significance,2
other,simple,1
other,simply,1
other,sit,2
other,site,1
other,skeletor,1
other,skip,2
other,skokie,1
other,sludge,1
other,smell,12
other,smelter,1
other,sniff,1
other,snorkel,1
other,solution,2
other,someplace,1
other,sound,2
other,source,5
other,south,4
other,speak,1
other,specie,1
other,spend,1
other,spent,1
other,spew,6
other,spike,1
other,spite,2
other,sponsor,1
other,spot,1
other,spurrier,1
other,stack,2
other,stadium,1
other,staed,1
other,stand,3
other,standard,1
other,star,1
other,state,9
other,station,3
other,stay,9
other,step,2
other,sterile,1
other,steve,1
other,stop,8
other,storm,8
other,story,2
other,straight,2
other,strategy,1
other,straw,2
other,strength,1
other,strict,1
other,strong,2
other,structure,1
other,study,1
other,stupid,1
other,subjective,1
other,subsequent,1
other,successful,2
other,sue,3
other,suffocate,1
other,sugar,1
other,sum,1
other,superfood,1
other,surround,3
other,swear,1
other,swim,14
other,swimming,10
other,switch,1
other,symptom,1
other,system,3
other,tackle,1
other,taint,1
other,tank,1
other,tasty,1
other,teacher,2
other,team,2
other,tend,1
other,term,2
other,terrible,2
other,tetonic,1
other,teutonic,1
other,texas,3
other,theory,1
other,thi,1
other,thing,3
other,think,2
other,thousand,3
other,threat,1
other,threaten,1
other,tide,2
other,tidetotheocean,1
other,till,1
other,time,12
other,toilet,2
other,tom,1
other,ton,1
other,topped,1
other,total,3
other,tourist,1
other,town,1
other,toxic,4
other,transfer,1
other,transmitter,1
other,travesty,1
other,treasure,1
other,treat,5
other,treated,1
other,treatment,3
other,tremendous,1
other,trip,3
other,trop,1
other,trouble,1
other,trump,2
other,trustwohy,1
other,truth,1
other,turn,3
other,tweet,2
other,ty,1
other,u00a0the,1
other,u00a0was,1
other,ugly,1
other,unacceptable,3
other,underpopulated,1
other,unhealthy,8
other,uniform,2
other,uniforms,1
other,unofficial,1
other,unsustainable,1
other,untold,1
other,upgrade,2
other,utilize,1
other,variety,1
other,venice,3
other,venue,1
other,vern,1
other,victory,2
other,violation,1
other,violent,1
other,virus,1
other,visibility,1
other,visit,1
other,vote,2
other,voting,1
other,vow,3
other,wait,1
other,wake,2
other,wan,2
other,ward4life,1
other,warm,1
other,wash,1
other,waste,15
other,watch,2
other,water,48
other,waterfront,2
other,watersmaer,1
other,wave,1
other,way,3
other,weeee,1
other,week,4
other,weekend,3
other,weird,1
other,wel,4
other,west,1
other,wetland,1
other,wetlands,1
other,wettribe,1
other,whip,1
other,white,1
other,wide,1
other,wildlife,1
other,wilmette,1
other,wipe,1
other,woh,1
other,wonder,1
other,work,4
other,worker,3
other,worry,4
other,wound,1
other,wow,1
other,wreck,1
other,write,1
other,wrong,2
other,wtaf,1
other,wtf,2
other,wtpfl,8
other,ya,1
other,yeah,2
other,year,15
other,yep,1
other,yikes,1
other,youll,1
other,yuck,1
other,yummy,3
